number,stateCode,state,townCode,town,localCode,local
76,03,BAJA CALIFORNIA SUR,003,LA PAZ,0001,LA PAZ
76,07,CHIAPAS,059,OCOSINGO,0001,OCOSINGO
76,07,CHIAPAS,061,OCOZOCOAUTLA DE ESPINOSA,0001,OCOZOCOAUTLA DE ESPINOSA
76,15,MÉXICO                      ,010,APAXCO,0001,APAXCO DE OCAMPO
76,20,OAXACA,006,ASUNCIÓN NOCHIXTLÁN,0001,ASUNCIÓN NOCHIXTLÁN
76,20,OAXACA,482,SANTIAGO PINOTEPA NACIONAL,0001,SANTIAGO PINOTEPA NACIONAL
77,11,GUANAJUATO,031,SAN FRANCISCO DEL RINCÓN,0001,SAN FRANCISCO DEL RINCÓN
77,15,MÉXICO                      ,120,ZUMPANGO,0046,SAN JUAN ZITLALTEPEC
77,21,PUEBLA,144,SAN SALVADOR HUIXCOLOTLA,0001,SAN SALVADOR HUIXCOLOTLA
78,21,PUEBLA,124,SAN GABRIEL CHILAC,0001,SAN GABRIEL CHILAC
78,24,SAN LUIS POTOSÍ        ,024,RIOVERDE,0001,RIOVERDE
80,07,CHIAPAS,017,CINTALAPA,0001,CINTALAPA DE FIGUEROA
80,16,MICHOACÁN DE OCAMPO       ,066,PÁTZCUARO,0001,PÁTZCUARO
80,30,VERACRUZ DE IGNACIO DE LA LLAVE,003,ACAYUCAN,0001,ACAYUCAN
81,13,HIDALGO,084,ZIMAPÁN,0001,ZIMAPÁN
81,15,MÉXICO                      ,070,LA PAZ,0001,LOS REYES ACAQUILPAN
81,21,PUEBLA,117,RAFAEL LARA GRAJALES,0001,CIUDAD DE RAFAEL LARA GRAJALES
81,32,ZACATECAS,017,GUADALUPE,0001,GUADALUPE
82,20,OAXACA,324,SAN PEDRO POCHUTLA,0001,SAN PEDRO POCHUTLA
82,28,TAMAULIPAS,027,NUEVO LAREDO,0001,NUEVO LAREDO
83,06,COLIMA,010,VILLA DE ÁLVAREZ,0001,CIUDAD DE VILLA DE ÁLVAREZ
83,32,ZACATECAS,056,ZACATECAS,0001,ZACATECAS
84,21,PUEBLA,004,ACATZINGO,0001,ACATZINGO DE HIDALGO
85,28,TAMAULIPAS,021,EL MANTE,0001,CIUDAD MANTE
85,29,TLAXCALA,050,SAN FRANCISCO TETLANOHCAN,0001,SAN FRANCISCO TETLANOHCAN
86,14,JALISCO,063,OCOTLÁN,0001,OCOTLÁN
86,21,PUEBLA,003,ACATLÁN,0001,ACATLÁN DE OSORIO
87,21,PUEBLA,001,ACAJETE,0001,ACAJETE
87,23,QUINTANA ROO,008,SOLIDARIDAD,0001,PLAYA DEL CARMEN
89,29,TLAXCALA,028,TEOLOCHOLCO,0001,TEOLOCHOLCO
90,17,MORELOS,029,YAUTEPEC,0001,YAUTEPEC DE ZARAGOZA
